Frottala,Phrase,Measures,Notes,Duration,Syllables
44,1,3,6,27,5
44,2,3,8,23,5
44,3,12,29,92,22
44,4,3,12,34,11
44,5,7,11,50,11
45,1,3,12,52,8
45,2,3,14,44,9
45,3,6,16,96,16
45,4,3,16,52,8
45,5,6,20,100,9
46,1,2,8,36,7
46,2,2,7,28,7
46,3,4,15,60,11
46,4,5,15,56,11
47,1,4,12,36,11
47,2,4,11,32,11
47,3,4,11,32,11
47,4,2,4,12,5
48,1,17,31,66,26
49,1,2,11,16,7
49,2,2,8,14,8
49,3,5,18,28,13
50,1,2,8,32,7
50,2,2,10,28,7
50,3,5,13,56,12
51,1,3,13,32,12
51,2,3,11,30,11
51,3,4,14,32,11
52,1,5,8,20,7
52,2,5,7,18,7
52,3,5,9,20,7
52,4,5,6,16,5
53,1,2,8,16,7
53,2,2,7,14,7
53,3,5,18,28,11
54,1,3,10,52,9
54,2,3,8,48,8
54,3,3,8,48,8
54,4,4,18,66,8
54,5,5,20,90,19
55,1,2,11,18,7
55,2,2,6,14,6
55,3,2,6,14,6
55,4,2,14,26,11
55,5,5,16,28,11
56,1,7,20,64,8
56,2,5,6,32,7
56,3,11,24,92,16
56,4,6,13,48,8
56,5,4,5,32,5
56,6,1,0,0,1
57,1,3,11,26,9
57,2,3,10,22,8
57,3,3,12,26,9
57,4,3,13,26,8
57,5,4,13,28,8
57,6,1,11,26,9
57,7,8,27,62,13
58,1,3,11,48,8
58,2,3,9,44,8
58,3,7,23,112,17
58,4,3,11,48,8
58,5,6,21,92,12
59,1,6,18,96,17
59,2,3,11,52,8
59,3,3,9,48,8
59,4,6,17,92,17
59,5,11,32,172,8
60,1,6,22,48,20
60,2,7,22,54,16
60,3,3,13,26,11
60,4,10,32,78,14
61,1,7,12,32,9
61,2,18,31,68,12
61,3,18,33,68,18
61,4,12,13,46,17
61,5,13,23,50,16
61,6,6,10,26,8
61,7,13,24,46,10
61,8,8,13,36,8
61,9,20,33,76,12
62,1,8,16,30,14
62,2,8,11,30,11
62,3,8,12,28,11
